AGE5P - Age in Five Year Groups,SEXP Sex,INDP - 1 Digit Level,OCCP - 1 Digit Level,GNGP Public/Private Sector,Persons
,,,Technicians and Trades Workers,National Government,75
,,,,State/Territory Government,218
,,,,Local Government,14
,,,,Private sector,2505
,,,Community and Personal Service Workers,National Government,94
,,,,State/Territory Government,52
,,,,Local Government,0
,,,,Private sector,577
,,,Clerical and Administrative Workers,National Government,1310
,,,,State/Territory Government,232
,,,,Local Government,3
,,,,Private sector,4641
,,,Sales Workers,National Government,89
,,,,State/Territory Government,87
,,,,Local Government,0
,,,,Private sector,750
,,,Machinery Operators and Drivers,National Government,241
,,,,State/Territory Government,695
,,,,Local Government,55
,,,,Private sector,20076
,,,Labourers,National Government,16
,,,,State/Territory Government,238
,,,,Local Government,6
,,,,Private sector,1746
,,Information Media and Telecommunications,Managers,National Government,206
,,,,State/Territory Government,14
,,,,Local Government,0
,,,,Private sector,2994
,,,Professionals,National Government,464
,,,,State/Territory Government,37
,,,,Local Government,0
,,,,Private sector,5532
,,,Technicians and Trades Workers,National Government,134
,,,,State/Territory Government,13
,,,,Local Government,0
,,,,Private sector,2584
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,41
,,,Clerical and Administrative Workers,National Government,72
,,,,State/Territory Government,31
,,,,Local Government,0
,,,,Private sector,918
,,,Sales Workers,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,577
,,,Machinery Operators and Drivers,National Government,11
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,123
,,,Labourers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,144
,,Financial and Insurance Services,Managers,National Government,47
,,,,State/Territory Government,132
,,,,Local Government,0
,,,,Private sector,6228
,,,Professionals,National Government,81
,,,,State/Territory Government,257
,,,,Local Government,0
,,,,Private sector,11848
,,,Technicians and Trades Workers,National Government,3
,,,,State/Territory Government,95
,,,,Local Government,0
,,,,Private sector,482
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,10
,,,,Local Government,0
,,,,Private sector,83
,,,Clerical and Administrative Workers,National Government,28
,,,,State/Territory Government,117
,,,,Local Government,0
,,,,Private sector,5439
,,,Sales Workers,National Government,3
,,,,State/Territory Government,46
,,,,Local Government,0
,,,,Private sector,851
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,111
,,,,Local Government,0
,,,,Private sector,119
,,,Labourers,National Government,0
,,,,State/Territory Government,76
,,,,Local Government,0
,,,,Private sector,75
,,"Rental, Hiring and Real Estate Services",Managers,National Government,13
,,,,State/Territory Government,22
,,,,Local Government,9
,,,,Private sector,2076
,,,Professionals,National Government,5
,,,,State/Territory Government,28
,,,,Local Government,3
,,,,Private sector,1338
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,623
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,10
,,,,Local Government,0
,,,,Private sector,83
,,,Clerical and Administrative Workers,National Government,5
,,,,State/Territory Government,33
,,,,Local Government,0
,,,,Private sector,412
,,,Sales Workers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,4060
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,436
,,,Labourers,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,441
,,"Professional, Scientific and Technical Services",Managers,National Government,162
,,,,State/Territory Government,47
,,,,Local Government,11
,,,,Private sector,10375
,,,Professionals,National Government,565
,,,,State/Territory Government,177
,,,,Local Government,6
,,,,Private sector,31366
,,,Technicians and Trades Workers,National Government,117
,,,,State/Territory Government,32
,,,,Local Government,0
,,,,Private sector,5960
,,,Community and Personal Service Workers,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,124
,,,Clerical and Administrative Workers,National Government,146
,,,,State/Territory Government,22
,,,,Local Government,0
,,,,Private sector,2015
,,,Sales Workers,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,902
,,,Machinery Operators and Drivers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,371
,,,Labourers,National Government,3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,554
,,Administrative and Support Services,Managers,National Government,13
,,,,State/Territory Government,38
,,,,Local Government,3
,,,,Private sector,2921
,,,Professionals,National Government,14
,,,,State/Territory Government,15
,,,,Local Government,0
,,,,Private sector,1982
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3274
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,893
,,,Clerical and Administrative Workers,National Government,5
,,,,State/Territory Government,16
,,,,Local Government,0
,,,,Private sector,1002
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,379
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,5
,,,,Local Government,0
,,,,Private sector,1126
,,,Labourers,National Government,0
,,,,State/Territory Government,21
,,,,Local Government,6
,,,,Private sector,6981
,,Public Administration and Safety,Managers,National Government,3323
,,,,State/Territory Government,2357
,,,,Local Government,1242
,,,,Private sector,923
,,,Professionals,National Government,3496
,,,,State/Territory Government,4054
,,,,Local Government,1780
,,,,Private sector,731
,,,Technicians and Trades Workers,National Government,1078
,,,,State/Territory Government,803
,,,,Local Government,1595
,,,,Private sector,852
,,,Community and Personal Service Workers,National Government,1653
,,,,State/Territory Government,9716
,,,,Local Government,256
,,,,Private sector,2750
,,,Clerical and Administrative Workers,National Government,3093
,,,,State/Territory Government,2149
,,,,Local Government,982
,,,,Private sector,492
,,,Sales Workers,National Government,36
,,,,State/Territory Government,63
,,,,Local Government,19
,,,,Private sector,63
,,,Machinery Operators and Drivers,National Government,164
,,,,State/Territory Government,334
,,,,Local Government,996
,,,,Private sector,60
,,,Labourers,National Government,61
,,,,State/Territory Government,136
,,,,Local Government,1246
,,,,Private sector,421
,,Education and Training,Managers,National Government,870
,,,,State/Territory Government,1200
,,,,Local Government,0
,,,,Private sector,1831
,,,Professionals,National Government,4673
,,,,State/Territory Government,6513
,,,,Local Government,0
,,,,Private sector,7611
,,,Technicians and Trades Workers,National Government,479
,,,,State/Territory Government,374
,,,,Local Government,0
,,,,Private sector,702
,,,Community and Personal Service Workers,National Government,136
,,,,State/Territory Government,464
,,,,Local Government,0
,,,,Private sector,1507
,,,Clerical and Administrative Workers,National Government,448
,,,,State/Territory Government,310
,,,,Local Government,0
,,,,Private sector,336
,,,Sales Workers,National Government,21
,,,,State/Territory Government,13
,,,,Local Government,0
,,,,Private sector,63
,,,Machinery Operators and Drivers,National Government,20
,,,,State/Territory Government,18
,,,,Local Government,0
,,,,Private sector,125
,,,Labourers,National Government,43
,,,,State/Territory Government,271
,,,,Local Government,0
,,,,Private sector,359
,,Health Care and Social Assistance,Managers,National Government,25
,,,,State/Territory Government,567
,,,,Local Government,0
,,,,Private sector,2439
,,,Professionals,National Government,48
,,,,State/Territory Government,5500
,,,,Local Government,4
,,,,Private sector,10895
,,,Technicians and Trades Workers,National Government,3
,,,,State/Territory Government,518
,,,,Local Government,0
,,,,Private sector,1339
,,,Community and Personal Service Workers,National Government,27
,,,,State/Territory Government,2049
,,,,Local Government,3
,,,,Private sector,5800
,,,Clerical and Administrative Workers,National Government,19
,,,,State/Territory Government,451
,,,,Local Government,0
,,,,Private sector,1075
,,,Sales Workers,National Government,0
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,156
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,162
,,,,Local Government,0
,,,,Private sector,393
,,,Labourers,National Government,0
,,,,State/Territory Government,343
,,,,Local Government,0
,,,,Private sector,1115
,,Arts and Recreation Services,Managers,National Government,14
,,,,State/Territory Government,98
,,,,Local Government,4
,,,,Private sector,1885
,,,Professionals,National Government,20
,,,,State/Territory Government,223
,,,,Local Government,6
,,,,Private sector,2058
,,,Technicians and Trades Workers,National Government,5
,,,,State/Territory Government,70
,,,,Local Government,10
,,,,Private sector,1379
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,44
,,,,Local Government,0
,,,,Private sector,1399
,,,Clerical and Administrative Workers,National Government,5
,,,,State/Territory Government,41
,,,,Local Government,0
,,,,Private sector,353
,,,Sales Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,171
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,115
,,,Labourers,National Government,3
,,,,State/Territory Government,33
,,,,Local Government,0
,,,,Private sector,481
,,Other Services,Managers,National Government,15
,,,,State/Territory Government,22
,,,,Local Government,0
,,,,Private sector,2491
,,,Professionals,National Government,11
,,,,State/Territory Government,17
,,,,Local Government,8
,,,,Private sector,2320
,,,Technicians and Trades Workers,National Government,4
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,12260
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,1278
,,,Clerical and Administrative Workers,National Government,7
,,,,State/Territory Government,5
,,,,Local Government,5
,,,,Private sector,731
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,460
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,559
,,,Labourers,National Government,0
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,2246
,Female,"Agriculture, Forestry and Fishing",Managers,National Government,0
,,,,State/Territory Government,16
,,,,Local Government,0
,,,,Private sector,3309
,,,Professionals,National Government,4
,,,,State/Territory Government,11
,,,,Local Government,0
,,,,Private sector,321
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,316
,,,Community and Personal Service Workers,National Government,0
