AGE5P Age in 5 year groups,SEXP Sex,OCCP Occupation of person,INDP Industry of employment,GNGP Public/Private sector,Persons
,,,,State/Territory Government,4.3
,,,,Local Government,0
,,,,Private sector,277.8
,,,"Professional, Scientific and Technical Services",National Government,25.2
,,,,State/Territory Government,13.2
,,,,Local Government,0
,,,,Private sector,2744.8
,,,Administrative and Support Services,National Government,0
,,,,State/Territory Government,4.3
,,,,Local Government,0
,,,,Private sector,645.7
,,,Public Administration and Safety,National Government,233
,,,,State/Territory Government,313.6
,,,,Local Government,109.4
,,,,Private sector,117.3
,,,Education and Training,National Government,203.4
,,,,State/Territory Government,147.6
,,,,Local Government,0
,,,,Private sector,297.2
,,,Health Care and Social Assistance,National Government,5
,,,,State/Territory Government,100.5
,,,,Local Government,0
,,,,Private sector,410.2
,,,Arts and Recreation Services,National Government,0
,,,,State/Territory Government,15.7
,,,,Local Government,0
,,,,Private sector,210
,,,Other Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,369.8
,,Professionals,"Agriculture, Forestry and Fishing",National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,79.7
,,,Mining,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,728.6
,,,Manufacturing,National Government,19.6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1609.4
,,,"Electricity, Gas, Water and Waste Services",National Government,0
,,,,State/Territory Government,250.7
,,,,Local Government,22.5
,,,,Private sector,299.8
,,,Construction,National Government,0
,,,,State/Territory Government,3.2
,,,,Local Government,9.8
,,,,Private sector,880.7
,,,Wholesale Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1287
,,,Retail Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,723.4
,,,Accommodation and Food Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,127.7
,,,"Transport, Postal and Warehousing",National Government,67.5
,,,,State/Territory Government,96.8
,,,,Local Government,0
,,,,Private sector,518.9
,,,Information Media and Telecommunications,National Government,135
,,,,State/Territory Government,4.4
,,,,Local Government,0
,,,,Private sector,1493.4
,,,Financial and Insurance Services,National Government,37.1
,,,,State/Territory Government,58.7
,,,,Local Government,0
,,,,Private sector,2754.5
,,,"Rental, Hiring and Real Estate Services",National Government,0
,,,,State/Territory Government,7.1
,,,,Local Government,0
,,,,Private sector,238
,,,"Professional, Scientific and Technical Services",National Government,142.8
,,,,State/Territory Government,58
,,,,Local Government,0
,,,,Private sector,8742.7
,,,Administrative and Support Services,National Government,8.3
,,,,State/Territory Government,3.5
,,,,Local Government,0
,,,,Private sector,584
,,,Public Administration and Safety,National Government,476.3
,,,,State/Territory Government,818.2
,,,,Local Government,375.3
,,,,Private sector,169.6
,,,Education and Training,National Government,1764.5
,,,,State/Territory Government,860.4
,,,,Local Government,0
,,,,Private sector,1108.7
,,,Health Care and Social Assistance,National Government,12.4
,,,,State/Territory Government,2059
,,,,Local Government,0
,,,,Private sector,3257.2
,,,Arts and Recreation Services,National Government,0
,,,,State/Territory Government,19.5
,,,,Local Government,0
,,,,Private sector,265.7
,,,Other Services,National Government,4.3
,,,,State/Territory Government,3.3
,,,,Local Government,0
,,,,Private sector,511.7
,,Technicians and Trades Workers,"Agriculture, Forestry and Fishing",National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,113.4
,,,Mining,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,748.1
,,,Manufacturing,National Government,19.4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3242.5
,,,"Electricity, Gas, Water and Waste Services",National Government,0
,,,,State/Territory Government,128.4
,,,,Local Government,6.7
,,,,Private sector,212.8
,,,Construction,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,9.3
,,,,Private sector,5716.2
,,,Wholesale Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,619.7
,,,Retail Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,733.5
,,,Accommodation and Food Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2522.2
,,,"Transport, Postal and Warehousing",National Government,12.1
,,,,State/Territory Government,27.6
,,,,Local Government,3.5
,,,,Private sector,423.9
,,,Information Media and Telecommunications,National Government,29
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,478.7
,,,Financial and Insurance Services,National Government,0
,,,,State/Territory Government,13.3
,,,,Local Government,0
,,,,Private sector,133.9
,,,"Rental, Hiring and Real Estate Services",National Government,0
,,,,State/Territory Government,3.3
,,,,Local Government,0
,,,,Private sector,134.5
,,,"Professional, Scientific and Technical Services",National Government,13.4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1297.1
,,,Administrative and Support Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,356.1
,,,Public Administration and Safety,National Government,72.5
,,,,State/Territory Government,115.4
,,,,Local Government,99.1
,,,,Private sector,93.3
,,,Education and Training,National Government,83.2
,,,,State/Territory Government,70.2
,,,,Local Government,0
,,,,Private sector,104.6
,,,Health Care and Social Assistance,National Government,0
,,,,State/Territory Government,137
,,,,Local Government,0
,,,,Private sector,360.8
,,,Arts and Recreation Services,National Government,0
,,,,State/Territory Government,9
,,,,Local Government,0
,,,,Private sector,161.1
,,,Other Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1775.3
,,Community and Personal Service Workers,"Agriculture, Forestry and Fishing",National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,0
,,,Mining,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,12.9
,,,Manufacturing,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,95.3
,,,"Electricity, Gas, Water and Waste Services",National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,0
,,,Construction,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,16.4
,,,Wholesale Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,12.7
,,,Retail Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,46.1
,,,Accommodation and Food Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,442.8
,,,"Transport, Postal and Warehousing",National Government,3.2
,,,,State/Territory Government,10.9
,,,,Local Government,0
,,,,Private sector,79.6
,,,Information Media and Telecommunications,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,5.5
,,,Financial and Insurance Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,29.3
,,,"Rental, Hiring and Real Estate Services",National Government,0
,,,,State/Territory Government,4.8
,,,,Local Government,0
,,,,Private sector,17.3
,,,"Professional, Scientific and Technical Services",National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,31.2
,,,Administrative and Support Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,252.5
,,,Public Administration and Safety,National Government,73.1
,,,,State/Territory Government,901.9
,,,,Local Government,36
,,,,Private sector,631.3
,,,Education and Training,National Government,26.3
,,,,State/Territory Government,56
,,,,Local Government,0
,,,,Private sector,268.3
,,,Health Care and Social Assistance,National Government,11.2
,,,,State/Territory Government,344.1
,,,,Local Government,0
,,,,Private sector,1971.2
,,,Arts and Recreation Services,National Government,0
,,,,State/Territory Government,8.8
,,,,Local Government,0
,,,,Private sector,192.5
,,,Other Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,176.1
,,Clerical and Administrative Workers,"Agriculture, Forestry and Fishing",National Government,0
,,,,State/Territory Government,3.5
,,,,Local Government,0
,,,,Private sector,18.3
,,,Mining,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,101.5
,,,Manufacturing,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,423.6
,,,"Electricity, Gas, Water and Waste Services",National Government,0
,,,,State/Territory Government,71.7
,,,,Local Government,4.4
,,,,Private sector,98.5
,,,Construction,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,305.6
,,,Wholesale Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,348.1
,,,Retail Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,262.5
,,,Accommodation and Food Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,118.5
,,,"Transport, Postal and Warehousing",National Government,172.2
,,,,State/Territory Government,48.3
,,,,Local Government,0
,,,,Private sector,848.9
,,,Information Media and Telecommunications,National Government,13
,,,,State/Territory Government,3.3
,,,,Local Government,0
,,,,Private sector,206.2
,,,Financial and Insurance Services,National Government,5.4
,,,,State/Territory Government,18.9
,,,,Local Government,0
,,,,Private sector,1162.1
,,,"Rental, Hiring and Real Estate Services",National Government,0
,,,,State/Territory Government,4.5
,,,,Local Government,0
,,,,Private sector,57.1
,,,"Professional, Scientific and Technical Services",National Government,30.3
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,450.9
,,,Administrative and Support Services,National Government,0
,,,,State/Territory Government,3.3
,,,,Local Government,0
,,,,Private sector,189.7
,,,Public Administration and Safety,National Government,238.3
,,,,State/Territory Government,251
,,,,Local Government,106
,,,,Private sector,61
,,,Education and Training,National Government,127.8
,,,,State/Territory Government,52
,,,,Local Government,0
,,,,Private sector,80.7
,,,Health Care and Social Assistance,National Government,0
,,,,State/Territory Government,89.8
,,,,Local Government,0
,,,,Private sector,285.9
,,,Arts and Recreation Services,National Government,0
,,,,State/Territory Government,3.3
,,,,Local Government,0
,,,,Private sector,36.2
,,,Other Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,123.9
,,Sales Workers,"Agriculture, Forestry and Fishing",National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,10.4
,,,Mining,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3.4
,,,Manufacturing,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,200.2
,,,"Electricity, Gas, Water and Waste Services",National Government,0
,,,,State/Territory Government,7.4
,,,,Local Government,0
,,,,Private sector,37.1
,,,Construction,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,89.8
,,,Wholesale Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,394.8
,,,Retail Trade,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1711.8
,,,Accommodation and Food Services,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,135.5
,,,"Transport, Postal and Warehousing",National Government,20.7
,,,,State/Territory Government,19
,,,,Local Government,0
,,,,Private sector,133.3
